Prescriber Zip Code	Plan Provider ID	Year	Month	Product Family	Rx New	Rx Refill	Rx Total	Tablets New	Tablets Total	Tablets Refill
30642	13670202.00	2010.00	201012.00	NASONEX	2.858	0.00	2.858	48.58	48.58	0.00
31201	13670202.00	2010.00	201011.00	NASONEX	1.063	0.00	1.063	18.08	18.08	0.00
31404	13670202.00	2010.00	201010.00	NASONEX	1.083	0.00	1.083	18.42	18.42	0.00
32086	13670202.00	2010.00	201012.00	NASONEX	1.043	0.00	1.043	17.73	17.73	0.00
32211	13670202.00	2010.00	201010.00	NASONEX	1.026	0.00	1.026	17.43	17.43	0.00
32250	13670202.00	2010.00	201010.00	NASONEX	1.274	0.00	1.274	21.66	21.66	0.00
32258	13670202.00	2010.00	201010.00	NASONEX	1.081	0.00	1.081	18.37	18.37	0.00
32803	13670202.00	2010.00	201010.00	NASONEX	1.23	0.00	1.23	20.92	20.92	0.00
33144	13670202.00	2010.00	201011.00	NASONEX	1.383	0.00	1.383	23.52	23.52	0.00
33155	13670202.00	2010.00	201012.00	NASONEX	1.099	0.00	1.099	18.69	18.69	0.00
33309	13670202.00	2011.00	201102.00	NASONEX	1.068	0.00	1.068	18.15	18.15	0.00
33309	13670202.00	2011.00	201105.00	NASONEX	1.14	0.00	1.14	19.37	19.37	0.00
33322	13670202.00	2010.00	201009.00	NASONEX	1.019	0.00	1.019	17.33	17.33	0.00
33326	13670202.00	2010.00	201006.00	NASONEX	1.334	0.00	1.334	22.67	22.67	0.00
33331	13670202.00	2010.00	201006.00	NASONEX	3.456	0.00	3.456	58.75	58.75	0.00
33331	13670202.00	2010.00	201012.00	NASONEX	1.141	0.00	1.141	19.39	19.39	0.00
33331	13670202.00	2011.00	201103.00	NASONEX	5.873	0.00	5.873	99.84	99.84	0.00
33435	13670202.00	2010.00	201010.00	NASONEX	2.342	0.00	2.342	39.82	39.82	0.00
33445	13670202.00	2010.00	201010.00	NASONEX	1.141	0.00	1.141	19.4	19.4	0.00
33446	13670202.00	2010.00	201012.00	NASONEX	2.301	0.00	2.301	39.13	39.13	0.00
33470	13670202.00	2010.00	201012.00	NASONEX	1.264	0.00	1.264	21.48	21.48	0.00
33472	13670202.00	2010.00	201012.00	NASONEX	5.668	0.00	5.668	96.34	96.34	0.00
33572	13670202.00	2010.00	201011.00	NASONEX	2.198	0.00	2.198	37.37	37.37	0.00
33919	13670202.00	2010.00	201008.00	NASONEX	3.542	0.00	3.542	60.22	60.22	0.00
33952	13670202.00	2010.00	201010.00	NASONEX	8.12	0.00	8.12	138.02	138.02	0.00
33952	13670202.00	2010.00	201011.00	NASONEX	7.674	0.00	7.674	130.44	130.44	0.00
33952	13670202.00	2011.00	201101.00	NASONEX	3.089	0.00	3.089	52.51	52.51	0.00
34102	13670202.00	2010.00	201012.00	NASONEX	1.167	0.00	1.167	19.83	19.83	0.00
34205	13670202.00	2010.00	201012.00	NASONEX	2.927	0.00	2.927	49.76	49.76	0.00
34711	13670202.00	2010.00	201012.00	NASONEX	4.251	0.00	4.251	72.26	72.26	0.00
34741	13670202.00	2010.00	201011.00	NASONEX	2.168	0.00	2.168	36.87	36.87	0.00
34748	13670202.00	2010.00	201011.00	NASONEX	1.175	0.00	1.175	19.98	19.98	0.00
35010	13670202.00	2010.00	201011.00	NASONEX	1.526	0.00	1.526	25.95	25.95	0.00
35209	13670202.00	2010.00	201010.00	NASONEX	1.132	0.00	1.132	19.25	19.25	0.00
28117	13670202.00	2010.00	201012.00	NASONEX	1.184	0.00	1.184	20.13	20.13	0.00
28209	13670202.00	2010.00	201010.00	NASONEX	1.162	1.033	2.195	19.75	37.31	17.56
28211	13670202.00	2010.00	201009.00	NASONEX	1.023	0.00	1.023	17.39	17.39	0.00
28211	13670202.00	2010.00	201012.00	NASONEX	3.158	2.035	5.193	53.68	88.27	34.59
28277	13670202.00	2010.00	201011.00	NASONEX	3.133	0.00	3.133	53.27	53.27	0.00
28277	13670202.00	2010.00	201012.00	NASONEX	1.03	0.00	1.03	17.5	17.5	0.00
28734	13670202.00	2010.00	201012.00	NASONEX	1.777	0.00	1.777	30.2	30.2	0.00
29150	13670202.00	2010.00	201012.00	NASONEX	1.131	0.00	1.131	19.23	19.23	0.00
29303	13670202.00	2010.00	201011.00	NASONEX	1.115	0.00	1.115	18.96	18.96	0.00
29560	13670202.00	2010.00	201008.00	NASONEX	4.633	0.00	4.633	78.75	78.75	0.00
29560	13670202.00	2010.00	201010.00	NASONEX	1.91	0.00	1.91	32.47	32.47	0.00
29615	13670202.00	2010.00	201012.00	NASONEX	4.939	0.00	4.939	83.96	83.96	0.00
30024	13670202.00	2010.00	201008.00	NASONEX	1.138	0.00	1.138	19.35	19.35	0.00
30043	13670202.00	2010.00	201011.00	NASONEX	5.863	0.00	5.863	99.68	99.68	0.00
30068	13670202.00	2010.00	201012.00	NASONEX	1.29	0.00	1.29	21.93	21.93	0.00
30117	13670202.00	2010.00	201011.00	NASONEX	1.208	0.00	1.208	20.54	20.54	0.00
30240	13670202.00	2010.00	201010.00	NASONEX	1.373	0.00	1.373	23.35	23.35	0.00
30240	13670202.00	2010.00	201012.00	NASONEX	11.394	0.00	11.394	193.69	193.69	0.00
30342	13670202.00	2011.00	201105.00	NASONEX	1.019	0.00	1.019	17.33	17.33	0.00
30518	13670202.00	2010.00	201010.00	NASONEX	3.699	0.00	3.699	62.87	62.87	0.00
30907	13670202.00	2010.00	201008.00	NASONEX	1.559	0.00	1.559	26.5	26.5	0.00
30907	13670202.00	2010.00	201011.00	NASONEX	1.562	0.00	1.562	26.55	26.55	0.00
31201	13670202.00	2010.00	201012.00	NASONEX	16.774	0.00	16.774	285.14	285.14	0.00
31210	13670202.00	2010.00	201012.00	NASONEX	1.144	0.00	1.144	19.45	19.45	0.00
31520	13670202.00	2010.00	201009.00	NASONEX	5.001	0.00	5.001	85.00	85.00	0.00
31520	13670202.00	2010.00	201010.00	NASONEX	1.711	0.00	1.711	29.09	29.09	0.00
31768	13670202.00	2010.00	201011.00	NASONEX	1.243	0.00	1.243	21.14	21.14	0.00
31901	13670202.00	2010.00	201008.00	NASONEX	3.24	0.00	3.24	55.07	55.07	0.00
31904	13670202.00	2010.00	201009.00	NASONEX	3.135	0.00	3.135	53.29	53.29	0.00
31904	13670202.00	2010.00	201011.00	NASONEX	3.219	0.00	3.219	54.72	54.72	0.00
31901	13670202.00	2010.00	201012.00	NASONEX	3.449	0.00	3.449	58.64	58.64	0.00
