Year,Grade,Gender,GrGen,Public Speaking,The Dark,Animals,The Supernatural,Caregivers,Storms and Natural Disasters,Punishment and Discipline,Rejection and/or Failure,Heights,Disappointment,Anger,More Mature?,,,,,,,,
2,5,F,5F,1,1,1,1,0,1,0,1,0,3,0,No,,,,,,,,
2,5,F,5F,1,1,3,0,0,0,1,1,1,1,0,Yes,,,,,,,,
2,5,F,5F,3,2,3,2,0,2,1,2,3,2,1,Yes,,,,,,,,
2,5,F,5F,2,1,3,0,0,1,1,2,1,1,1,Yes,,,,,,,,
2,5,F,5F,2,3,2,3,1,1,2,3,3,3,2,No,,,,,,,,
2,5,F,5F,1,0,0,0,0,1,0,1,0,1,1,Yes,,,,,,,,
2,5,F,5F,1,0,3,0,0,1,2,3,3,3,1,No,,,,,,,,
2,5,M,5M,2,1,1,1,2,0,2,1,2,1,1,No,,,,,,,,
2,5,M,5M,2,2,2,1,3,2,2,2,2,1,2,No,,,,,,,,
2,5,M,5M,2,2,2,0,0,0,1,2,0,3,1,Yes,,,,,,,,
2,5,M,5M,1,0,1,0,0,0,2,3,0,2,0,No,,,,,,,,
2,5,M,5M,1,1,0,1,0,0,1,3,3,0,0,Yes,,,,,,,,
2,5,M,5M,1,2,2,3,0,0,3,2,2,3,1,Yes,,,,,,,,
2,5,M,5M,0,0,1,2,1,0,3,3,1,3,2,No,,,,,,,,
2,5,M,5M,1,0,0,0,0,0,1,1,0,0,0,Yes,,,,,,,,
2,5,M,5M,3,1,0,0,0,2,0,2,2,3,0,No,,,,,,,,
2,5,M,5M,,1,0,1,0,0,2,0,0,2,0,No,,,,,,,,
2,5,M,5M,2,1,1,0,0,3,2,3,2,3,0,No,,,,,,,,
2,5,M,5M,0,2,0,0,0,0,2,2,0,3,3,Yes,,,,,,,,
2,5,M,5M,2,3,1,0,1,3,2,3,3,1,2,No,,,,,,,,
2,5,M,5M,1,1,1,0,0,2,1,2,0,2,1,Yes,,,,,,,,
2,7,F,7F,1,1,2,2,1,1,0,0,1,1,0,Yes,,,,,,,,
2,7,F,7F,1,2,0,1,0,1,1,1,3,1,1,Yes,,,,,,,,
2,7,F,7F,2,1,2,1,2,0,1,2,3,3,1,Yes,,,,,,,,
2,7,F,7F,1,2,3,3,0,1,3,0,0,2,3,Yes,,,,,,,,
2,7,F,7F,3,1,0,1,0,1,1,1,3,2,2,Yes,,,,,,,,
2,7,F,7F,1,1,3,2,2,0,1,2,1,2,2,No,,,,,,,,
2,7,F,7F,3,2,2,2,1,1,3,3,2,2,2,Yes,,,,,,,,
2,7,F,7F,2,1,1,0,0,0,1,1,1,0,1,Yes,,,,,,,,
2,7,F,7F,1,2,2,3,1,0,0,0,2,2,1,No,,,,,,,,
2,7,M,7M,1,1,1,3,0,0,2,1,2,2,2,No,,,,,,,,
2,7,M,7M,2,1,1,2,0,2,0,0,3,0,1,Yes,,,,,,,,
2,7,M,7M,1,2,3,2,0,2,0,1,2,2,2,No,,,,,,,,
2,7,M,7M,1,0,1,1,0,0,0,3,1,1,1,,,,,,,,,
2,7,M,7M,0,0,0,0,0,0,1,0,0,2,0,No,,,,,,,,
2,7,M,7M,1,0,0,0,0,1,3,1,1,2,2,,,,,,,,,
2,7,M,7M,2,1,1,1,0,1,2,2,1,3,2,No,,,,,,,,
2,7,M,7M,2,3,3,2,0,1,3,3,1,3,3,No,,,,,,,,
2,7,M,7M,2,1,1,2,1,2,1,1,3,1,1,No,,,,,,,,
2,7,M,7M,2,2,2,1,0,1,2,0,3,2,3,No,,,,,,,,
