32 0 0 16 . 45 12 2 4 1 1 1 .
51 7 0 17 2 . 12 2 4 0 1 1 5
41 0 1 16 . 100 . 3 4 0 1 1 .
81 7 2 16 . 100 16 6 7 0 0 1 .
74 8 3 16 . 67.5 . 1 5 1 0 1 .
42 0 2 20 . 200 20 4 5 0 1 1 .
45 7 3 16 . . 8 5 6 0 1 1 .
23 7 0 16 1 120 12 3 3 0 0 0 4
26 0 0 12 . 21.25 . 3 4 0 0 0 .
29 7 0 12 . 100 . 3 6 1 1 0 0
28 0 1 12 3 37.5 . 2 4 0 0 0 .
60 5 1 16 2 18.75 . 1 4 1 1 1 4
35 7 0 18 . 55 16 2 4 1 0 1 .
38 2 3 16 . 140 . 0 2 1 1 0 .
30 0 0 16 1 82.5 12 0 2 0 0 0 6
44 . 0 20 1 140 . . 2 0 1 0 6
58 0 0 16 1 27.5 12 2 2 1 0 1 .
41 2 0 16 1 8.5 16 2 2 0 0 1 6
61 1 0 18 1 45 12 1 5 1 0 1 1
56 4 1 16 1 27.5 16 0 3 1 0 1 6
79 7 1 16 . 55 12 1 4 1 0 1 .
32 0 0 14 2 67.5 12 1 4 0 0 1 6
68 1 0 19 3 27.5 14 3 4 1 0 1 6
89 0 2 15 3 120 . 2 2 1 0 1 .
38 0 0 20 2 200 20 5 4 0 1 0 4
29 . 0 16 2 27.5 12 . 4 1 0 0 .
77 7 3 17 2 140 . 0 3 0 0 0 3
47 3 1 13 2 67.5 12 0 2 0 0 0 5
53 2 4 16 . 200 . 2 5 0 1 0 .
54 5 0 14 1 100 10 0 4 1 0 0 6
64 7 3 18 1 82.5 . 0 2 1 0 0 3
62 7 4 16 . . . 2 4 1 0 1 .
30 2 0 20 1 67.5 14 1 3 1 0 1 6
61 5 2 20 2 200 9 6 7 0 1 1 6
63 0 2 16 1 13.75 12 . 1 0 0 1 6
41 3 1 20 2 140 12 1 4 0 1 1 6
57 0 2 16 1 120 18 3 5 1 1 0 6
29 0 0 14 . 32.5 8 5 6 1 0 1 .
40 0 2 20 2 100 12 6 6 0 1 1 .
21 1 0 14 . 120 . 3 4 0 0 1 .
55 5 6 12 2 67.5 16 3 5 0 1 1 0
81 5 4 15 2 . 7 6 6 1 0 1 0
38 5 2 17 1 140 16 1 4 1 1 1 6
37 3 2 12 3 32.5 12 . 3 0 0 1 6
45 0 2 18 1 120 16 0 2 1 1 1 6
37 5 0 16 . 55 12 2 4 1 0 0 .
